timestamp,device,dns_target,icmp_target,service_host,dns_ms,error_code,icmp_jitter_ms,icmp_loss_pct,icmp_rtt_ms,probe_success,tcp_connect_ms
2026-03-08T14:34:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,45,0,5,0,55,1,63
2026-03-08T14:34:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,46,0,8,0,55,1,43
2026-03-08T14:35:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,47,0,0,0,54,1,49
2026-03-08T14:35:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,47,0,5,0,57,1,44
2026-03-08T14:36:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,7,0,2,0,57,1,47
2026-03-08T14:36:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,58,0,8,0,62,1,59
2026-03-08T14:37:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,50,0,1,0,59,1,70
2026-03-08T14:37:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,52,0,11,0,54,1,46
2026-03-08T14:38:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,39,0,1,0,54,1,44
2026-03-08T14:38:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,60,0,11,0,59,1,42
2026-03-08T14:39:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,36,0,10,0,56,1,66
2026-03-08T14:39:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,57,0,12,0,58,1,45
2026-03-08T14:40:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,37,0,24,0,62,1,48
2026-03-08T14:40:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,5,0,10,0,53,1,59
2026-03-08T14:41:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,59,0,0,0,46,1,73
2026-03-08T14:41:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,61,0,10,0,51,1,46
